Execuation time 01 - CM vector parsing: 54.036860942840576 sec.
Execuation time 02 - Property parsing: 1.468682050704956 sec.
Execuation time 03 - Fold parsing: 133.55097603797913 sec. 
Execuation time 04 - Reindex: 0.8575189113616943 sec. 

--- Training and Testing EN ---

 Prop_Id      Err_MAE      Time_Train  Time_Test
       0    0.84425038    2930.72       0.27
       1    1.33370911    3114.38       0.09
       2    0.33763208    3306.02       0.09
       3    0.63109163    2852.54       0.09
       4    0.72213687    3129.89       0.09
       5   55.51490597    3076.67       0.09
       6    0.02647214    2770.06       0.09
       7    0.91064924    2760.76       0.09
       8    0.91183948    2770.89       0.10
       9    0.91190713    2764.53       0.09
      10    0.90930395    2761.36       0.09
      11    0.90599782    2849.15       0.09
      12  131.37157855    3349.68       0.09
